bucket,name,amount,deadline,score,effort,trust_tier,reason,url
A,Chevening Scholarships,Full tuition + living costs + flights,2026-11-05,110,60,S,🇬🇧 UK scholarship,https://www.chevening.org/scholarships/
A,Commonwealth Scholarships (Taught Masters),Full tuition + stipend + travel,2026-10-18,110,50,S,🇬🇧 UK scholarship,https://cscuk.fcdo.gov.uk/scholarships/commonwealth-masters-scholarships/
B,Postgraduate Academic Excellence Scholarship,See website,Check website,130,20,S,🇬🇧 UK scholarship,https://www.brunel.ac.uk/scholarships/
B,  Postgraduate taught courses (field_scholarship)  ,See website,Check website,120,30,S,🇬🇧 UK scholarship,https://www.surrey.ac.uk/scholarships/
B,"College of Engineering, Design & Physical Sciences (CEDPS) Academic Excellence Scholarship 2025/26",£2000,Check website,110,20,S,🇬🇧 UK scholarship,https://www.brunel.ac.uk/scholarships/
B,British Council Scholarships for Women in STEM 2025/26,Fully funded,Check website,110,30,S,🇬🇧 UK scholarship,https://www.brunel.ac.uk/scholarships/
B,Brunel University of London and the China Scholarship Council PhD Scholarship 2026/27,Full tuition,Check website,110,30,S,🇬🇧 UK scholarship,https://www.brunel.ac.uk/scholarships/
B,The Vice Chancellor’s Postgraduate International Excellence Award,"£6,000",30 November 2026,95,30,S,🇬🇧 UK scholarship,https://www.brunel.ac.uk/scholarships/
B,Postgraduate International Bursary,"£4,000",30 November 2026,95,30,S,🇬🇧 UK scholarship,https://www.brunel.ac.uk/scholarships/
B,"GREAT Scholarships 2026 – China, Nigeria and Viet Nam","£12,000",30 April 2026,85,30,S,🇬🇧 UK scholarship,https://www.brunel.ac.uk/scholarships/
B,The Vice Chancellor’s Undergraduate Excellence Award 2026/27,See website,30 May 2026,85,30,S,🇬🇧 UK scholarship,https://www.brunel.ac.uk/scholarships/
B,MBA Scholarship (Full-time & Part-time) September 2026,See website,14 August 2026,85,30,S,🇬🇧 UK scholarship,https://www.brunel.ac.uk/scholarships/
B,"David Cesarani, Kobler Scholarship 2026","£10,000",Check website,75,30,S,🇬🇧 UK scholarship,https://www.royalholloway.ac.uk/scholarships/
B,EU Undergraduate Bursary 2026/27,"£5,000",Check website,75,30,S,🇬🇧 UK scholarship,https://www.brunel.ac.uk/scholarships/
B,Scholarships and bursaries listing,"£3,000",Check website,75,30,S,🇬🇧 UK scholarship,https://www.surrey.ac.uk/scholarships/
B,Sports Scholarship Programmes,£3000,Check website,75,30,S,🇬🇧 UK scholarship,https://www.brunel.ac.uk/scholarships/
B,Estranged Student Bursary 2025/2026,"£2,000",Check website,75,30,S,🇬🇧 UK scholarship,https://www.brunel.ac.uk/scholarships/
B,ICAEW Foundation Bursary,See website,Check website,75,30,S,🇬🇧 UK scholarship,https://www.surrey.ac.uk/scholarships/
B,Banco de Mexico FIDERH Scholarship,See website,Check website,75,30,S,🇬🇧 UK scholarship,https://www.brunel.ac.uk/scholarships/
B,Beaconhouse School Discount,See website,Check website,75,30,S,🇬🇧 UK scholarship,https://www.brunel.ac.uk/scholarships/
B,Brunel Family Discount,See website,Check website,75,30,S,🇬🇧 UK scholarship,https://www.brunel.ac.uk/scholarships/
B,Brunel Graduate Discount,See website,Check website,75,30,S,🇬🇧 UK scholarship,https://www.brunel.ac.uk/scholarships/
B,Chevening (External Scholarship) 2026/7,See website,Check website,75,30,S,🇬🇧 UK scholarship,https://www.brunel.ac.uk/scholarships/
B,Commonwealth Shared Scholarship (External Scholarship) 2026/7,See website,Check website,75,30,S,🇬🇧 UK scholarship,https://www.brunel.ac.uk/scholarships/
B,Discounts,See website,Check website,75,30,S,🇬🇧 UK scholarship,https://www.brunel.ac.uk/scholarships/
B,Doctoral Researcher Funding Opportunities,See website,Check website,75,30,S,🇬🇧 UK scholarship,https://www.brunel.ac.uk/scholarships/
B,Ealing Trailfinders (ETF) & Brunel University of London Rugby Academy Scholarship 2026/27,See website,Check website,75,30,S,🇬🇧 UK scholarship,https://www.brunel.ac.uk/scholarships/
B,Early Payment Discount,See website,Check website,75,30,S,🇬🇧 UK scholarship,https://www.brunel.ac.uk/scholarships/
B,External Funding (Includes information on scholarships for CURRENT students),See website,Check website,75,30,S,🇬🇧 UK scholarship,https://www.brunel.ac.uk/scholarships/
B,Fee Reduction for Partnership Schools,See website,7 December 2026,75,30,S,🇬🇧 UK scholarship,https://www.brunel.ac.uk/scholarships/
B,FINS SCHEME- Educational Loan for EU Students,See website,Check website,75,30,S,🇬🇧 UK scholarship,https://www.brunel.ac.uk/scholarships/
B,Music Awards,See website,Check website,75,30,S,🇬🇧 UK scholarship,https://www.brunel.ac.uk/scholarships/
B,The University of London Scholars Programme 2025/26,See website,Check website,75,30,S,🇬🇧 UK scholarship,https://www.brunel.ac.uk/scholarships/
B,"Bursaries, Scholarships and Funds",See website,Check website,75,30,S,🇬🇧 UK scholarship,https://www.northampton.ac.uk/scholarships/
B,Scholarships Guide for Applicants,See website,Check website,75,30,S,🇬🇧 UK scholarship,https://www.northampton.ac.uk/scholarships/
B,Scholarships,See website,Check website,75,30,S,🇬🇧 UK scholarship,https://www.edgehill.ac.uk/scholarships/
B,GREAT Scholarships,"£10,000 minimum",2026-05-15,60,40,S,🇬🇧 UK scholarship,https://study-uk.britishcouncil.org/scholarships/great-scholarships
B,Find a scholarship,See website,Check website,55,30,S,🌍 International students,https://www.unsw.edu.au/scholarships/
B,Current Scholarship Opportunities,"$3,000",Check website,10,30,B,✅ No GPA requirement stated,https://www.seattlefoundation.org/scholarships
B,Increase My Income Scholarship Fund,See website,Check website,10,30,B,✅ No GPA requirement stated,https://www.azfoundation.org/scholarships
B,The Thunderbirds Scholarship,See website,Check website,10,30,B,✅ No GPA requirement stated,https://www.azfoundation.org/scholarships
B,Martha McSally Dare to Fly Scholarship,See website,Check website,10,30,B,✅ No GPA requirement stated,https://www.azfoundation.org/scholarships
B,Give to a scholarship fund,See website,Check website,10,30,B,✅ No GPA requirement stated,https://www.azfoundation.org/scholarships
B,Scholarships at Alaska Community Foundation,See website,Check website,10,30,B,✅ No GPA requirement stated,https://www.alaskacf.org/scholarships
B,Find a Scholarship,See website,Check website,10,30,B,✅ No GPA requirement stated,https://www.mainecf.org/scholarships
B,200+ Scholarship Opportunities Now Available to Support Students Across the Midlands,See website,Check website,10,30,B,✅ No GPA requirement stated,https://www.yourfoundation.org/scholarships
B,Apply for Scholarships,See website,Check website,10,30,B,✅ No GPA requirement stated,https://www.arcf.org/scholarships
B,FFA Scholarships Set Students Up for Future Success,See website,Check website,10,30,B,✅ No GPA requirement stated,https://www.ffa.org/scholarships
B,5 Tips To Make Your Scholarship Application Shine,See website,Check website,10,30,B,✅ No GPA requirement stated,https://www.ffa.org/scholarships
B,Supporting Career Paths Through Scholarships Can Lead to a Continued Passion for Agriculture,See website,Check website,10,30,B,✅ No GPA requirement stated,https://www.ffa.org/scholarships
B,HOSA Scholarships,See website,Check website,10,30,B,✅ No GPA requirement stated,https://www.hosa.org/scholarships
B,GK SCHOLARSHIPS: Ather Sharif,See website,Check website,10,30,B,✅ No GPA requirement stated,https://www.goldenkey.org/scholarships
B,GK Scholarships: Logan Thornton,See website,Check website,10,30,B,✅ No GPA requirement stated,https://www.goldenkey.org/scholarships
B,GK Scholarships: Michael Shamblin,See website,Check website,10,30,B,✅ No GPA requirement stated,https://www.goldenkey.org/scholarships
B,GK Scholarships: Buntle Khumalo,See website,Check website,10,30,B,✅ No GPA requirement stated,https://www.goldenkey.org/scholarships
B,GK Scholarships: Julia Beker,See website,Check website,10,30,B,✅ No GPA requirement stated,https://www.goldenkey.org/scholarships
B,GK Scholarships: Tatenda Dandara,See website,Check website,10,30,B,✅ No GPA requirement stated,https://www.goldenkey.org/scholarships
B,GK Scholarships: Alejandra Delgado,See website,Check website,10,30,B,✅ No GPA requirement stated,https://www.goldenkey.org/scholarships
B,GK Scholarships: Kyle Dortch,See website,Check website,10,30,B,✅ No GPA requirement stated,https://www.goldenkey.org/scholarships
B,GK Scholarships: Ryan Brownlee,See website,Check website,10,30,B,✅ No GPA requirement stated,https://www.goldenkey.org/scholarships
B,GK Scholarships: Amal Koshy George,See website,Check website,10,30,B,✅ No GPA requirement stated,https://www.goldenkey.org/scholarships
C,Brunel Sanctuary Scholarship 2026/27,Full tuition,23 April 2026,55,30,S,🇬🇧 UK scholarship,https://www.brunel.ac.uk/scholarships/
C,Care Leaver Bursary 2025/2026,"£2,000",Check website,45,30,S,🇬🇧 UK scholarship,https://www.brunel.ac.uk/scholarships/
C,Doctoral Researcher / PhD Studentships,See website,Check website,45,30,S,🇬🇧 UK scholarship,https://www.brunel.ac.uk/scholarships/
C,ELCAS scholarship for Armed Forces,See website,Check website,45,30,S,🇬🇧 UK scholarship,https://www.brunel.ac.uk/scholarships/
